Title,sitelink,description,logo,categories,sub-category,tags,weight,recommend,Content
forefront.ai,https://chat.forefront.ai/,免费的chatGPT4试用,,AI导航,,forefront-ai,10,2,免费的chatGPT4试用
Pi Ai,https://heypi.com/talk,喜欢英语的小男孩最爱的聊天对象。,,AI导航,,pi-ai,10,2,喜欢英语的小男孩最爱的聊天对象。
Call Annie!AI英语对话学习,https://callsam.ai/,Call Annie!AI英语对话学习,,AI导航,,call-annieai,10,2,"Call Annie!AI英语对话学习
<div id=""gtx-trans"" style=""position: absolute; left: 107px; top: 18px;"">
<div class=""gtx-trans-icon""></div>
</div>"
Magicflow,https://chat.quazel.com/chat,功能：用于 AI 开发的 Webflow。 地点：以色列 ,,AI导航,,magicflow,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">功能：用于 AI 开发的 Webflow。 地点：以色列 网址： </span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/lRgf7DDANa"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>magicflow.ai</a>"
Stack AI,https://stack-ai.com,功能：在几分钟内构建 LLM 应用程序（即 ChatGPT）。      地点：旧金山      ,,AI导航,,stack-ai,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">功能：在几分钟内构建 LLM 应用程序（即 ChatGPT）。 地点：旧金山 网址： </span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/gVass6xrGf"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>stack-ai.com</a>"
quazel,https://www.quazel.com/,https://www.quazel.com/,,AI导航,,quazel,10,2,"<div class=""brix---subtitle""><span>通过对话学习语言</span><span class=""text-span-6""><span>。</span></span></div>
<div class=""brix---color-neutral-800"">
<h1 class=""brix---heading-h1-size"">你口袋里的<span class=""text-span-14"">人工智能</span>导师</h1>
<div class=""w-layout-grid brix---grid-1-column-gap-row-80px"">
<div id=""w-node-_835a1247-d93a-3c57-0cbb-2bbea342bb97-2be3a01f"">
<div>
<div class=""brix---mg-bottom-16px"">
<div class=""brix---color-neutral-802"">
<h3 class=""brix---heading-h3-size""><span>20+ 语言</span></h3>
</div>
</div>
<div class=""brix---paragraph-default-2"">
<div class=""brix---color-neutral-801"">
<p class=""brix---mg-bottom-0""><span>学习 Quazel 目前支持的 21 种语言中的任意一种，包括英语、西班牙语、法语、日语等。</span></p>

</div>
</div>
</div>
</div>
<div id=""w-node-_835a1247-d93a-3c57-0cbb-2bbea342bba3-2be3a01f"">
<div>
<div class=""brix---mg-bottom-24px"">
<div class=""iconbackground""><img class=""brix---square-icon-56px"" src=""https://1984a.com/wp-content/uploads/2024/04/20240408193845-7a63a.json"" alt=""奖杯图标"" width=""36"" /></div>
</div>
<div class=""brix---mg-bottom-16px"">
<div class=""brix---color-neutral-802"">
<h3 class=""brix---heading-h3-size""><span>语言任务</span></h3>
</div>
</div>
<div class=""brix---paragraph-default-2"">
<div class=""brix---color-neutral-801"">
<p class=""brix---mg-bottom-0""><span>通过解决有趣的现实世界任务来练习和应用您的技能，例如从巴黎的面包店订购羊角面包。</span></p>

</div>
</div>
</div>
</div>
</div>
<img class=""image-3"" src=""https://1984a.com/wp-content/uploads/2023/09/6534c-648727f9cce85e8895ae197d_quazel-langugage-tutor-app-feature.png"" sizes=""(max-width: 479px) 100vw, (max-width: 767px) 430px, (max-width: 991px) 500px, (max-width: 1439px) 27vw, 343.3359375px"" srcset=""https://1984a.com/wp-content/uploads/2024/04/648727f9cce85e8895ae197d_quazel-langugage-tutor-app-feature-p-500.png 500w, https://1984a.com/wp-content/uploads/2023/09/6534c-648727f9cce85e8895ae197d_quazel-langugage-tutor-app-feature.png 701w"" alt="""" />
<div class=""w-layout-grid brix---grid-1-column-gap-row-80px"">
<div id=""w-node-_835a1247-d93a-3c57-0cbb-2bbea342bbb1-2be3a01f"">
<div>
<div class=""brix---mg-bottom-24px"">
<div class=""iconbackground""><img class=""brix---square-icon-56px"" src=""https://1984a.com/wp-content/uploads/2024/04/20240408193846-960c1.json"" alt=""主题图标"" width=""36"" /></div>
</div>
<div class=""brix---mg-bottom-16px"">
<div class=""brix---color-neutral-802"">
<h3 class=""brix---heading-h3-size""><span>可定制的主题</span></h3>
</div>
</div>
<div class=""brix---paragraph-default-2"">
<div class=""brix---color-neutral-801"">
<p class=""brix---mg-bottom-0""><span>从您感兴趣的各种可定制主题中进行选择，或者通过选择您自己的主题和对话伙伴来构建您自己的场景。</span></p>

</div>
</div>
</div>
</div>
<div id=""w-node-_835a1247-d93a-3c57-0cbb-2bbea342bbbd-2be3a01f"">
<div>
<div class=""brix---mg-bottom-24px"">
<div class=""iconbackground""><img class=""brix---square-icon-56px"" src=""https://1984a.com/wp-content/uploads/2024/04/20240408193846-a4bed.json"" alt=""语音图标"" width=""36"" /></div>
</div>
<div class=""brix---mg-bottom-16px"">
<div class=""brix---color-neutral-802"">
<h3 class=""brix---heading-h3-size""><span>实时反馈</span></h3>
</div>
</div>
<div class=""brix---paragraph-default-2"">
<div class=""brix---color-neutral-801"">
<p class=""brix---mg-bottom-0""><span>在练习口语时获得有关语法和词汇的即时反馈。</span></p>

</div>
</div>
</div>
</div>
</div>
</div>
<div id=""gtx-trans"" style=""position: absolute; left: 39px; top: 17.4403px;"">
<div class=""gtx-trans-icon""></div>
</div>"
Linum,https://linum.ai,Linum 重点：视频方向的Midjourney 地点：旧金山 网站：,,AI导航,AI视频生成,linum,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">4.Linum 重点：视频方向的Midjourney 地点：旧金山 网站：</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/uPjHFFOMNI"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>linum.ai</a>"
Layup,https://layupai.com,Layup 重点：跨公司应用程序构建工作流的 AI 地点：旧金山。 网址：https://layupai.com,,AI导航,,layup,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Layup 重点：跨公司应用程序构建工作流的 AI 地点：旧金山。 网址：</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/v3ui1HlwA8"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>layupai.com</a>"
JustPaid io,https://justpaid.io,JustPaid io 重点：人工智能驱动的财务控制器，自动化账单支付和发票。 地点：加州山景城 Mountain View 网址：,,AI导航,AI领域实用,justpaid-io,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">JustPaid io 重点：人工智能驱动的财务控制器，自动化账单支付和发票。 地点：加州山景城 Mountain View 网址：</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/ow8NRse0IT"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>justpaid.io</a>
<div id=""gtx-trans"" style=""position: absolute; left: 21px; top: 18px;"">
<div class=""gtx-trans-icon""></div>
</div>"
Buildt,https://buildt.ai,Buildt 重点：用于搜索和理解大型代码库的 AI 开发工具。 地点：旧金山 网址：,,AI导航,,buildt,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Buildt 重点：用于搜索和理解大型代码库的 AI 开发工具。 地点：旧金山 网址：</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/ivzf7MGjd6"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>buildt.ai</a>"
 Persana AI,https://persana.ai, Persana AI 重点：由fine-tuned模型提供支持的智能销售助理 地点：旧金山 网址：,,AI导航,AI领域实用,persana-ai,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Persana AI 重点：由fine-tuned模型提供支持的智能销售助理 地点：旧金山 网址：</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/WWHE5HyPqS"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>persana.ai</a>"
Turntable,https://turntable.so,Turntable 重点：为数据分析团队准备的 AI 原生操作系统。 地点：纽约 网址：https://turntable.so,,AI导航,,turntable,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Turntable 重点：为数据分析团队准备的 AI 原生操作系统。 地点：纽约 网址：</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/2LYyfntu23"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>turntable.so</a>"
Type 焦点,https://type.ai,Type 焦点：人工智能辅助的文档编辑器 地点：纽约 网址：,,AI导航,,type,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Type 焦点：人工智能辅助的文档编辑器 地点：纽约 网址：</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/xFY4rS75UU"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>type.ai</a>"
Bark,https://huggingface.co/spaces/suno/bark ,本转语音的天花板再次被突破，一款名为Bark的模型在Github上迅速受到追捧，目前已达1.4万星标,,AI导航,AI音频创作,bark,10,2,"文本转语音五花八门的应用，可以说已经是“烂大街”了，而且它的应用场景还在不断扩大。目前公认的最为自然，最接近人声的、已经非常成熟的平台，应该是微软的Text To Speech文本转语音工具。不过，就在最近，来自AI界又一振奋人心的消息，文本转语音的天花板再次被突破，一款名为Bark的模型在Github上迅速受到追捧，目前已达1.4万星标，而且已经可以进行效果试用。而至于听完后的效果，如视频开头所示，确实是令人咂舌！

Bark Github地址：<span class=""yt-core-attributed-string--link-inherit-color""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--display-type yt-core-attributed-string__link--call-to-action-color"" tabindex=""0"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazA1aGkzWGt2ME94RmFPLWVVNGJMeG5vYzhmQXxBQ3Jtc0tsbkY1MndNSzFGYmpWRTh3V1J1ZzEtUlA4NUNLNzR0WmlOZDBKdUZLd2VEMFJ2VUhsSjdDYVpNLXI5TG5qcXB5b2N1MUNvVUJudE8zUjQwVTdVUlBPWWYza3Jsb0hTeFV0RWhhWTFSeF9ZcUt0bWdxUQ&amp;q=https%3A%2F%2Fgithub.com%2Fsuno-ai%2Fbark&amp;v=nUKXo_iLnZY"" target=""_blank"" rel=""nofollow noopener"">https://github.com/suno-ai/bark</a></span>

Bark试用地址： <span class=""yt-core-attributed-string--link-inherit-color""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--display-type yt-core-attributed-string__link--call-to-action-color"" tabindex=""0"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbkVPZm5wUDd1cUpHMmk1TTVuSzFyVDlNc2NUd3xBQ3Jtc0ttUnVkSEk4SmxYWllCcnBTMm5Kdkc0N0VTUVh0OXZaSnFWZTU0dlk1SWtxT2d4WElvRmpPWGpheDAzRlRIb2xzWUljRHV1VHl5am0zcFNWY0JEWERRSkxqVERUeFNuSHNfcEtaSWpidURZd1hTblpTOA&amp;q=https%3A%2F%2Fhuggingface.co%2Fspaces%2Fsuno%2Fbark&amp;v=nUKXo_iLnZY"" target=""_blank"" rel=""nofollow noopener"">https://huggingface.co/spaces/suno/bark</a></span>

<span class=""yt-core-attributed-string--link-inherit-color""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--display-type yt-core-attributed-string__link--call-to-action-color"" tabindex=""0"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbjVxUmVzM2w4WmlDZ2FQMXY0bUpiSDdwYUVnd3xBQ3Jtc0trQ2phQWI4N0g2d0VhU014eVRRSmY4akRNcW04LURYdXBWZS1YR3lVU1dwX3ZnNFlraC1SUWQzVWpQSVA5ZHQtZEhrbDh2S3V0SThyTTl0S0k2SGJZTS05ZUZxRFVWVF83OFBNV3NPQTZWQmE3S0JKYw&amp;q=https%3A%2F%2Freplicate.com%2Fsuno-ai%2Fbark&amp;v=nUKXo_iLnZY"" target=""_blank"" rel=""nofollow noopener"">https://replicate.com/suno-ai/bark</a></span>"
ChatABC.ai,https://aoobee.chatabc.ai/,ChatABC.ai,,AI导航,,chatabc-ai,10,2,"<div class=""flex h-screen flex-1 flex-col md:pl-[280px]"">

&nbsp;
<div class=""fixed bottom-0 left-0 right-0 w-full sm:absolute sm:border-t sm:bg-white sm:dark:border-white/20 sm:dark:bg-gray-800 md:border-t-0 md:border-transparent md:!bg-transparent md:bg-vert-light-gradient md:dark:border-transparent dark:md:bg-vert-dark-gradient"">
<div class=""hidden px-3 pb-3 pt-2 text-center text-xs text-gray-400 dark:text-gray-500 sm:block md:px-4 md:pb-6 md:pt-3"">ChatABC.ai - A better ChatGPT for you and your team.</div>
</div>
&nbsp;

</div>
<div class=""hidden bg-gray-50 dark:bg-gray-900 md:fixed md:inset-y-0 md:flex md:w-[280px] md:flex-col"">
<div class=""group/sidebar flex h-full min-h-0 flex-col"">
<div class=""flex h-full w-full flex-1 items-start""><nav class=""flex h-full w-full flex-1 flex-col pb-6 pt-4"">
<div class=""mb-4 flex flex-row items-center justify-between space-x-2 pl-5 pr-4""></div>
</nav></div>
</div>
</div>"
prompt-patterns,https://github.com/prompt-engineering/prompt-patterns,Prompt 编写模式：如何将思维框架赋予机器，以设计模式的形式来思考 prompt,,AI导航,,prompt-patterns,10,2,Prompt 编写模式：如何将思维框架赋予机器，以设计模式的形式来思考 prompt
AI Anything,https://github.com/KeJunMao/ai-anything,Anyone can create GPT tools 人人都能创建 GPT 工具,,AI导航,,ai-anything,10,2,Anyone can create GPT tools 人人都能创建 GPT 工具
wnr.ai,https://wnr.ai/explore,Explore Discover top templates and creators,,AI导航,,wnr-ai,10,2,"<h1 class=""h2"">Explore</h1>
<p class=""lead mb-0"">Discover top templates and creators</p>

<div id=""gtx-trans"" style=""position: absolute; left: 398px; top: 62.875px;"">
<div class=""gtx-trans-icon""></div>
</div>"
MyShell,https://app.myshell.ai/,可以语音交互的学习工具  好用,,AI导航,,myshell,10,2,"可以语音交互的学习工具

好用
<div id=""gtx-trans"" style=""position: absolute; left: 321px; top: 17.5382px;"">
<div class=""gtx-trans-icon""></div>
</div>"
POE,https://poe.com/,综合AI客户端,,AI导航,,poe,10,2,"https://poe.com/  综合AI客户端
<div id=""gtx-trans"" style=""position: absolute; left: 558px; top: 67.6493px;"">
<div class=""gtx-trans-icon""></div>
</div>"
多种草-免费在线小红书AI创作工具,https://duozhongcao.com/,多种草是一个专为自媒体博主、市场运营设计的 AI 智能创作平台，服务自媒体工作者在抖音、小红书、微信等全平台文案及图文撰写,,AI导航,AI领域实用,ai-6,10,2,多种草是一个专为自媒体博主、市场运营设计的 AI 智能创作平台，服务自媒体工作者在抖音、小红书、微信等全平台文案及图文撰写
Gamma  AI一键制作PPT,https://gamma.app/, Gamma  AI一键制作PPT,,AI导航,,gamma-aippt,10,2,需要停止手工从零开始做PPT。 这个 AI 工具是用于幻灯片的 ChatGPT。 以下是如何使用它来节省工作时间（完全免费）
Astira,https://www.astria.ai/,Astira 让照片动起来,,AI导航,,astira,10,2,"<span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Astira 让照片动起来 </span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" role=""link"" href=""https://t.co/44Xw8mmJrT"" target=""_blank"" rel=""noopener noreferrer nofollow""><span class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"" aria-hidden=""true"">https://</span>astria.ai</a>
<div id=""gtx-trans"" style=""position: absolute; left: 336px; top: 17.5382px;"">
<div class=""gtx-trans-icon""></div>
</div>"
AI一键生成Excel公式,https://helloai.wiki/tools/Q-B47xYrm,AI一键生成Excel公式,,AI导航,,aiexcel,10,2,"<blockquote class=""wp-block-quote""><cite>HellAI 提供一个在线 AI 一键生成 Excel 公式工具，只需要说出你的需求，AI 即可在线根据描述生成符合要求的 Excel 公式，对于 Excel 小白非常使用，使用无需注册登录，非常方便。</cite></blockquote>
<figure class=""wp-block-image size-full""><img class=""wp-image-250565 loaded"" title=""AI 一键生成 Excel 公式"" src=""https://1984a.com/wp-content/uploads/2023/08/111111111111111111.png"" sizes=""(max-width: 881px) 100vw, 881px"" srcset=""https://1984a.com/wp-content/uploads/2023/08/111111111111111111.png 881w, https://1984a.com/wp-content/uploads/2023/08/111111111111111111.png 768w"" alt=""AI 一键生成 Excel 公式"" width=""881"" height=""837"" data-src=""https://1984a.com/wp-content/uploads/2023/08/111111111111111111.png"" data-lazy=""true"" data-loaded=""true"" /></figure>
<h2 class=""wp-block-heading"">在线 AI 一键生成 Excel 公式地址</h2>"
TinyWow,https://tinywow.com,免费 AI 写作、PDF、图像和其他在线工具 -,,,,tinywow,10,2,"免费 AI 写作、PDF、图像和其他在线工具
<div class=""row justify-content-between align-items-center"">
<div class=""col-lg-12 text-center"">
<h2 class=""title""><span>我们最受欢迎的工具</span></h2>
</div>
<div class=""col-lg-12 text-center"">
<p class=""descr gray""><span>我们呈现最好的。全部免费，无任何限制</span></p>

</div>
<div class=""filter-container mt_32"">
<div class=""col-lg-12 text-center"">
<div class=""filter"">
<div class=""filter__category is-active"" data-tools-block-type=""all""><span class=""filter__name""><span>所有工具</span></span></div>
<div class=""filter__category"" data-tools-block-type=""1""><span class=""filter__name""><span>PDF工具</span></span></div>
<div class=""filter__category"" data-tools-block-type=""3""><span class=""filter__name""><span>视频工具</span></span></div>
<div class=""filter__category"" data-tools-block-type=""4""><span class=""filter__name""><span>图像工具</span></span></div>
<div class=""filter__category"" data-tools-block-type=""5""><span class=""filter__name""><span>转换器工具</span></span></div>
<div class=""filter__category"" data-tools-block-type=""6""><span class=""filter__name""><span>其他工具</span></span></div>
<div class=""filter__category"" data-tools-block-type=""8""><span class=""filter__name""><span>人工智能书写</span></span></div>
</div>
</div>
</div>
</div>
<div class=""row catalog-box tools-block-results"" data-tools-block-type=""all"">
<div class=""col-lg-3 col-6 element-tools"" data-title=""Essay Writer"" data-description=""Easily create an essay with AI"" data-search-terms=""essay writer write  essay writer write  essay writer write  essay writer write  essay writer "">
<div class=""tools_box "">
<div class=""icon_box v_6 v6 ""></div>
<div>
<h4><span>散文作家</span></h4>
<span class=""color-violet catalog-box__tag ""><span>人工智能书写</span></span></div>
<span>使用 AI 轻松创作论文</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Content Improver"" data-description=""Improve your content"" data-search-terms=""content improver ai write  content improver ai write  content improver ai write  content improver ai write  write content improver "">
<div class=""tools_box "">
<div class=""icon_box v_1 v1 ""></div>
<div>
<h4><span>内容改进剂</span></h4>
<span class=""color-violet catalog-box__tag ""><span>人工智能书写</span></span></div>
<span>改进您的内容</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Paragraph Writer"" data-description=""Paragraph Writer"" data-search-terms=""paragraph writer write generator write ai paragraph writer generator write ai write paragraph writer generator write ai paragraph writer write generator write ai paragraph writer write generator write ai paragraph writer write generator write ai"">
<div class=""tools_box "">
<div class=""icon_box v_6 v6 ""></div>
<div>
<h4><span>段落作者</span></h4>
<span class=""color-orange catalog-box__tag ""><span>人工智能书写</span></span></div>
<span>段落作者</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Remove Background from Image"" data-description=""Easily Remove the Background from an image"" data-search-terms=""remove background image bg remove background image remove background remove background image bg remove background remove background image bg remove background remove background image bg remove background image bg remove background"">
<div class=""tools_box "">
<div class=""icon_box v_8 v8 ""></div>
<div>
<h4><span>从图像中删除背景</span></h4>
<span class=""color-orange catalog-box__tag ""><span>图像工具</span></span></div>
<span>轻松去除图像中的背景</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""AI Image Generator"" data-description=""AI Image Generator"" data-search-terms=""ai image generator jpg jpeg png svg gif bmp heic ai image generator jpg jpeg png svg gif bmp heic ai image generator jpg jpeg png svg gif bmp heic ai image generator jpg jpeg png svg gif bmp heic"">
<div class=""tools_box "">
<div class=""icon_box v_8 v8 ""></div>
<div>
<h4><span>人工智能图像生成器</span></h4>
<span class=""color-orange catalog-box__tag ""><span>图像工具</span></span></div>
<span>人工智能图像生成器</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Merge PDF"" data-description=""Merge 2 or more PDF files into a single PDF file"" data-search-terms=""merge pdf files combine join pdf merge combine pdf merge combine join merge pdf files combine join merge pdf files combine join merge pdf files combine join"">
<div class=""tools_box "">
<div class=""icon_box v_5 v5 ""></div>
<div>
<h4><span>合并PDF</span></h4>
<span class=""color-violet catalog-box__tag ""><span>PDF工具</span></span></div>
<span>将 2 个或多个 PDF 文件合并为一个 PDF 文件</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Edit PDF"" data-description=""Free PDF Editor"" data-search-terms=""edit pdf edit pdf edit pdf edit pdf"">
<div class=""tools_box "">
<div class=""icon_box v_2 v2 ""></div>
<div>
<h4><span>编辑PDF</span></h4>
<span class=""color-green catalog-box__tag ""><span>PDF工具</span></span></div>
<span>免费 PDF 编辑器</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""PDF to JPG"" data-description=""Convert PDF to JPG and download each page as an image"" data-search-terms=""pdf image photo picture jpg jpeg pdf jpg convert images image photo picture jpeg pdf jpg convert images image photo picture jpeg pdf jpg convert images image photo picture jpeg pdf jpg convert images image photo picture jpeg"">
<div class=""tools_box "">
<div class=""icon_box v_8 v8 ""></div>
<div>
<h4><span>PDF 转 JPG</span></h4>
<span class=""color-green catalog-box__tag ""><span>PDF工具</span></span></div>
<span>将 PDF 转换为 JPG 并将每个页面下载为图像</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""JPG to PDF"" data-description=""Upload images and receive as a PDF"" data-search-terms=""jpg pdf convert image photo picture jpeg jpg pdf convert image photo picture jpeg pdf image photo picture jpg jpeg jpg pdf convert image photo picture jpeg jpg pdf convert image photo picture jpeg"">
<div class=""tools_box "">
<div class=""icon_box v_2 v2 ""></div>
<div>
<h4><span>JPG 转 PDF</span></h4>
<span class=""color-green catalog-box__tag ""><span>PDF工具</span></span></div>
<span>上传图像并以 PDF 形式接收</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Compress PDF"" data-description=""Lessen the file size of a PDF file"" data-search-terms=""compress pdf file size reducer size compress pdf file size reducer size pdf compress reducer size pdf compress reducer size compress pdf file size reducer size compress pdf file size reducer size"">
<div class=""tools_box "">
<div class=""icon_box v_2 v2 ""></div>
<div>
<h4><span>压缩PDF</span></h4>
<span class=""color-green catalog-box__tag ""><span>PDF工具</span></span></div>
<span>减小 PDF 文件的文件大小</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Change Background of Photo"" data-description=""Change Background of Image"" data-search-terms=""change background photo image bg change background photo image picture bg change background photo image bg change background photo image picture bg change background photo image bg change background photo image picture bg change background photo image bg change background photo image picture bg image change photo  change background photo image picture bg"">
<div class=""tools_box "">
<div class=""icon_box v_6 v6 ""></div>
<div>
<h4><span>更改照片背景</span></h4>
<span class=""color-orange catalog-box__tag ""><span>图像工具</span></span></div>
<span>更改图像背景</span>

</div>
</div>
<div class=""col-lg-3 col-6 element-tools"" data-title=""Split PDF"" data-description=""Split into one or multiple PDF files"" data-search-terms=""split pdf file split pdf file split pdf file split pdf file"">
<div class=""tools_box "">
<div class=""icon_box v_8 v8 ""></div>
<div>
<h4><span>分割PDF</span></h4>
<span class=""color-violet catalog-box__tag ""><span>PDF工具</span></span></div>
<span>拆分为一个或多个 PDF 文件</span>

</div>
</div>
</div>"
从 PDF 中提取文本,https://tinywow.com/pdf/extract-text,,,PDF工具,,pdf,10,2,从 PDF 文档中提取文本
Realchar.ai,https://realchar.ai/,ChatGPT + AI 语音模拟乔布斯、蝙蝠侠、洛基的声音 免费、免登录、实时对话,,AI导航,,realchar-ai,10,2,"<table width=""550"">
<tbody>
<tr>
<td width=""550"">ChatGPT + AI 语音模拟乔布斯、蝙蝠侠、洛基的声音 免费、免登录、实时对话</td>
</tr>
</tbody>
</table>"
